,GEOID,NAME,OverFifty,TotalPop
75,17119401800,"Census Tract 4018, Madison County, Illinois",2372,5851
76,17119403502,"Census Tract 4035.02, Madison County, Illinois",2741,5771
77,17119402801,"Census Tract 4028.01, Madison County, Illinois",1957,3537
78,17119400101,"Census Tract 4001.01, Madison County, Illinois",1225,2775
79,17119400903,"Census Tract 4009.03, Madison County, Illinois",1789,5135
80,17119401901,"Census Tract 4019.01, Madison County, Illinois",681,1859
81,17119401300,"Census Tract 4013, Madison County, Illinois",1715,5144
82,17119403101,"Census Tract 4031.01, Madison County, Illinois",1236,6908
83,17119401200,"Census Tract 4012, Madison County, Illinois",645,1647
84,17119403802,"Census Tract 4038.02, Madison County, Illinois",1787,4316
85,17063000800,"Census Tract 8, Grundy County, Illinois",1240,5183
86,17063000400,"Census Tract 4, Grundy County, Illinois",2312,5769
87,17063000200,"Census Tract 2, Grundy County, Illinois",2401,7017
88,17063000600,"Census Tract 6, Grundy County, Illinois",1187,3002
89,17063000300,"Census Tract 3, Grundy County, Illinois",1108,2856
90,17063000500,"Census Tract 5, Grundy County, Illinois",1288,2926
91,17063000900,"Census Tract 9, Grundy County, Illinois",1510,4008
92,17063000700,"Census Tract 7, Grundy County, Illinois",2250,5437
93,17043844701,"Census Tract 8447.01, DuPage County, Illinois",1587,4378
94,17043845000,"Census Tract 8450, DuPage County, Illinois",2141,5764
95,17043845100,"Census Tract 8451, DuPage County, Illinois",2075,6563
96,17043845502,"Census Tract 8455.02, DuPage County, Illinois",1823,5408
97,17043845601,"Census Tract 8456.01, DuPage County, Illinois",1561,4206
98,17043846305,"Census Tract 8463.05, DuPage County, Illinois",1988,5280
99,17043846307,"Census Tract 8463.07, DuPage County, Illinois",1468,4743
100,17043846404,"Census Tract 8464.04, DuPage County, Illinois",2259,6010
101,17043845803,"Census Tract 8458.03, DuPage County, Illinois",1731,4949
102,17043840104,"Census Tract 8401.04, DuPage County, Illinois",1691,5976
103,17043841102,"Census Tract 8411.02, DuPage County, Illinois",1725,6266
104,17043846102,"Census Tract 8461.02, DuPage County, Illinois",1195,4600
105,17043846002,"Census Tract 8460.02, DuPage County, Illinois",2027,4657
106,17043841204,"Census Tract 8412.04, DuPage County, Illinois",2014,6032
107,17043842604,"Census Tract 8426.04, DuPage County, Illinois",2172,4320
108,17043844602,"Census Tract 8446.02, DuPage County, Illinois",2133,4463
109,17077010200,"Census Tract 102, Jackson County, Illinois",1594,4111
110,17077010600,"Census Tract 106, Jackson County, Illinois",2189,5694
111,17077010700,"Census Tract 107, Jackson County, Illinois",1275,3529
112,17077010900,"Census Tract 109, Jackson County, Illinois",684,2292
113,17077011000,"Census Tract 110, Jackson County, Illinois",3032,6454
114,17077011100,"Census Tract 111, Jackson County, Illinois",327,3153
115,17077011200,"Census Tract 112, Jackson County, Illinois",670,4719
116,17077010300,"Census Tract 103, Jackson County, Illinois",1238,2773
117,17077010800,"Census Tract 108, Jackson County, Illinois",1134,3682
118,17077011600,"Census Tract 116, Jackson County, Illinois",1642,3858
119,17077011400,"Census Tract 114, Jackson County, Illinois",368,3677
120,17077010400,"Census Tract 104, Jackson County, Illinois",2020,4731
121,17077010100,"Census Tract 101, Jackson County, Illinois",1318,3074
122,17031060100,"Census Tract 601, Cook County, Illinois",440,2852
123,17143000200,"Census Tract 2, Peoria County, Illinois",518,1785
124,17031040700,"Census Tract 407, Cook County, Illinois",836,3440
125,17031040900,"Census Tract 409, Cook County, Illinois",421,1842
126,17031060300,"Census Tract 603, Cook County, Illinois",482,3214
127,17031060400,"Census Tract 604, Cook County, Illinois",416,3779
128,17031062000,"Census Tract 620, Cook County, Illinois",262,2981
129,17031062200,"Census Tract 622, Cook County, Illinois",305,2719
130,17031062500,"Census Tract 625, Cook County, Illinois",171,1575
131,17031063100,"Census Tract 631, Cook County, Illinois",260,2310
132,17031090200,"Census Tract 902, Cook County, Illinois",2129,6838
133,17031100400,"Census Tract 1004, Cook County, Illinois",1292,3364
134,17031100700,"Census Tract 1007, Cook County, Illinois",2159,4700
135,17031120300,"Census Tract 1203, Cook County, Illinois",2519,6516
136,17031292500,"Census Tract 2925, Cook County, Illinois",1346,3897
137,17031071500,"Census Tract 715, Cook County, Illinois",1329,6065
138,17031390600,"Census Tract 3906, Cook County, Illinois",546,1756
139,17031807000,"Census Tract 8070, Cook County, Illinois",1956,6729
140,17031381500,"Census Tract 3815, Cook County, Illinois",112,375
141,17031410700,"Census Tract 4107, Cook County, Illinois",527,2089
142,17031808301,"Census Tract 8083.01, Cook County, Illinois",2840,5829
143,17031808302,"Census Tract 8083.02, Cook County, Illinois",1795,3769
144,17031809300,"Census Tract 8093, Cook County, Illinois",1126,4431
145,17031460400,"Census Tract 4604, Cook County, Illinois",1221,3374
146,17031560700,"Census Tract 5607, Cook County, Illinois",1011,3726
147,17031561100,"Census Tract 5611, Cook County, Illinois",1855,5502
148,17031570200,"Census Tract 5702, Cook County, Illinois",524,2074
149,17031010100,"Census Tract 101, Cook County, Illinois",1396,4522
150,17031030500,"Census Tract 305, Cook County, Illinois",1853,6428
151,17031710700,"Census Tract 7107, Cook County, Illinois",1546,2778
152,17031710900,"Census Tract 7109, Cook County, Illinois",582,2018
153,17031711400,"Census Tract 7114, Cook County, Illinois",938,2591
154,17031720300,"Census Tract 7203, Cook County, Illinois",1708,4100
155,17031730300,"Census Tract 7303, Cook County, Illinois",401,1137
156,17031740100,"Census Tract 7401, Cook County, Illinois",1106,3182
157,17031828802,"Census Tract 8288.02, Cook County, Illinois",1359,3395
158,17031828900,"Census Tract 8289, Cook County, Illinois",756,3481
159,17031829901,"Census Tract 8299.01, Cook County, Illinois",3885,9088
160,17031829902,"Census Tract 8299.02, Cook County, Illinois",2581,6420
161,17031062800,"Census Tract 628, Cook County, Illinois",396,3625
162,17031063400,"Census Tract 634, Cook County, Illinois",220,2318
163,17031070500,"Census Tract 705, Cook County, Illinois",938,3421
164,17031071600,"Census Tract 716, Cook County, Illinois",554,1832
165,17031071800,"Census Tract 718, Cook County, Illinois",796,2741
166,17031080100,"Census Tract 801, Cook County, Illinois",2947,6795
167,17031080400,"Census Tract 804, Cook County, Illinois",760,4142
168,17031081300,"Census Tract 813, Cook County, Illinois",3228,5313
169,17031150300,"Census Tract 1503, Cook County, Illinois",2767,7859
170,17031100200,"Census Tract 1002, Cook County, Illinois",2800,6872
171,17031100300,"Census Tract 1003, Cook County, Illinois",3114,6186
172,17031120400,"Census Tract 1204, Cook County, Illinois",1228,3749
173,17031151200,"Census Tract 1512, Cook County, Illinois",1110,3474
174,17031160200,"Census Tract 1602, Cook County, Illinois",1128,3002
175,17031170400,"Census Tract 1704, Cook County, Illinois",1391,4044
176,17031170800,"Census Tract 1708, Cook County, Illinois",1487,4189
177,17031180100,"Census Tract 1801, Cook County, Illinois",2160,6360
178,17031828505,"Census Tract 8285.05, Cook County, Illinois",3198,6522
179,17031828701,"Census Tract 8287.01, Cook County, Illinois",1254,4155
180,17031829000,"Census Tract 8290, Cook County, Illinois",361,1360
181,17143000600,"Census Tract 6, Peoria County, Illinois",1133,3350
182,17143002000,"Census Tract 20, Peoria County, Illinois",312,3112
183,17143002200,"Census Tract 22, Peoria County, Illinois",1328,4126
184,17143003900,"Census Tract 39, Peoria County, Illinois",2144,7157
185,17143004000,"Census Tract 40, Peoria County, Illinois",1929,4575
186,17143004500,"Census Tract 45, Peoria County, Illinois",1895,4879
187,17143004901,"Census Tract 49.01, Peoria County, Illinois",1578,3791
188,17143000900,"Census Tract 9, Peoria County, Illinois",861,2458
189,17143002900,"Census Tract 29, Peoria County, Illinois",1633,3536
190,17143003300,"Census Tract 33, Peoria County, Illinois",1831,3161
191,17143001800,"Census Tract 18, Peoria County, Illinois",625,2890
192,17143002300,"Census Tract 23, Peoria County, Illinois",1884,5023
193,17143003000,"Census Tract 30, Peoria County, Illinois",1884,5421
194,17143004101,"Census Tract 41.01, Peoria County, Illinois",2262,6801
195,17167003700,"Census Tract 37, Sangamon County, Illinois",3672,8619
196,17167003902,"Census Tract 39.02, Sangamon County, Illinois",1564,3921
197,17167002801,"Census Tract 28.01, Sangamon County, Illinois",1062,2978
198,17167003000,"Census Tract 30, Sangamon County, Illinois",1719,5960
199,17167000600,"Census Tract 6, Sangamon County, Illinois",2110,4438
200,17167003500,"Census Tract 35, Sangamon County, Illinois",1958,5342
201,17167003802,"Census Tract 38.02, Sangamon County, Illinois",2229,5974
202,17167000900,"Census Tract 9, Sangamon County, Illinois",769,2612
203,17167001100,"Census Tract 11, Sangamon County, Illinois",1027,2418
204,17167002700,"Census Tract 27, Sangamon County, Illinois",1366,3281
205,17091010800,"Census Tract 108, Kankakee County, Illinois",1417,3551
206,17091011400,"Census Tract 114, Kankakee County, Illinois",675,1752
207,17091010100,"Census Tract 101, Kankakee County, Illinois",1039,2402
208,17091010300,"Census Tract 103, Kankakee County, Illinois",1633,3946
209,17091010500,"Census Tract 105, Kankakee County, Illinois",2760,6195
210,17091011200,"Census Tract 112, Kankakee County, Illinois",1080,2100
211,17091011500,"Census Tract 115, Kankakee County, Illinois",786,2191
212,17091010900,"Census Tract 109, Kankakee County, Illinois",1710,4382
213,17091011000,"Census Tract 110, Kankakee County, Illinois",733,1784
214,17091011900,"Census Tract 119, Kankakee County, Illinois",369,1350
215,17091011300,"Census Tract 113, Kankakee County, Illinois",1005,2262
216,17091012500,"Census Tract 125, Kankakee County, Illinois",953,2548
217,17091011600,"Census Tract 116, Kankakee County, Illinois",406,1501
218,17091010400,"Census Tract 104, Kankakee County, Illinois",2040,4792
219,17091012100,"Census Tract 121, Kankakee County, Illinois",1211,3486
220,17091011800,"Census Tract 118, Kankakee County, Illinois",950,2623
221,17091012400,"Census Tract 124, Kankakee County, Illinois",1364,4585
222,17091012600,"Census Tract 126, Kankakee County, Illinois",1728,4676
223,17091011100,"Census Tract 111, Kankakee County, Illinois",730,2030
224,17091012000,"Census Tract 120, Kankakee County, Illinois",1442,5808
225,17031820101,"Census Tract 8201.01, Cook County, Illinois",3982,7043
226,17031821402,"Census Tract 8214.02, Cook County, Illinois",1403,2997
227,17031822101,"Census Tract 8221.01, Cook County, Illinois",1641,4265
228,17031823102,"Census Tract 8231.02, Cook County, Illinois",1408,3509
229,17031823304,"Census Tract 8233.04, Cook County, Illinois",2090,6138
230,17031824507,"Census Tract 8245.07, Cook County, Illinois",1815,4291
231,17031824800,"Census Tract 8248, Cook County, Illinois",1687,7440
232,17031824900,"Census Tract 8249, Cook County, Illinois",1141,3301
233,17031825400,"Census Tract 8254, Cook County, Illinois",1991,5099
234,17031825501,"Census Tract 8255.01, Cook County, Illinois",2181,5257
235,17031825503,"Census Tract 8255.03, Cook County, Illinois",2547,6919
236,17031825505,"Census Tract 8255.05, Cook County, Illinois",2108,5893
237,17107953000,"Census Tract 9530, Logan County, Illinois",1043,2437
238,17107953500,"Census Tract 9535, Logan County, Illinois",1579,5364
239,17107953100,"Census Tract 9531, Logan County, Illinois",1337,3863
240,17107953400,"Census Tract 9534, Logan County, Illinois",1721,3673
241,17031530600,"Census Tract 5306, Cook County, Illinois",926,2653
242,17031310800,"Census Tract 3108, Cook County, Illinois",1001,4219
243,17031330200,"Census Tract 3302, Cook County, Illinois",1626,3475
244,17031340500,"Census Tract 3405, Cook County, Illinois",803,1712
245,17031351500,"Census Tract 3515, Cook County, Illinois",128,773
246,17031390300,"Census Tract 3903, Cook County, Illinois",932,2843
247,17031400800,"Census Tract 4008, Cook County, Illinois",608,2706
248,17031410800,"Census Tract 4108, Cook County, Illinois",841,3051
249,17031420300,"Census Tract 4203, Cook County, Illinois",315,2737
250,17031430200,"Census Tract 4302, Cook County, Illinois",1891,4961
251,17031430500,"Census Tract 4305, Cook County, Illinois",1023,3569
252,17031431400,"Census Tract 4314, Cook County, Illinois",2686,6979
253,17031440700,"Census Tract 4407, Cook County, Illinois",809,1440
254,17031470100,"Census Tract 4701, Cook County, Illinois",1092,2336
255,17031480100,"Census Tract 4801, Cook County, Illinois",1057,2192
256,17031491100,"Census Tract 4911, Cook County, Illinois",2018,4160
257,17031491300,"Census Tract 4913, Cook County, Illinois",859,2605
258,17031510100,"Census Tract 5101, Cook County, Illinois",957,3077
259,17031520100,"Census Tract 5201, Cook County, Illinois",488,1810
260,17031530100,"Census Tract 5301, Cook County, Illinois",720,2236
261,17031530200,"Census Tract 5302, Cook County, Illinois",1311,3920
262,17031560100,"Census Tract 5601, Cook County, Illinois",598,1539
263,17107953200,"Census Tract 9532, Logan County, Illinois",1470,3855
264,17117956200,"Census Tract 9562, Macoupin County, Illinois",1105,2456
265,17107952900,"Census Tract 9529, Logan County, Illinois",1346,3854
266,17107953600,"Census Tract 9536, Logan County, Illinois",1250,3157
267,17107953300,"Census Tract 9533, Logan County, Illinois",1346,3004
268,17117956500,"Census Tract 9565, Macoupin County, Illinois",1211,2465
269,17117956600,"Census Tract 9566, Macoupin County, Illinois",2010,4721
270,17117956300,"Census Tract 9563, Macoupin County, Illinois",1340,3162
271,17117956100,"Census Tract 9561, Macoupin County, Illinois",1283,3044
272,17117956800,"Census Tract 9568, Macoupin County, Illinois",1295,2816
273,17117956900,"Census Tract 9569, Macoupin County, Illinois",1458,3365
274,17117956400,"Census Tract 9564, Macoupin County, Illinois",1762,5217
275,17117957100,"Census Tract 9571, Macoupin County, Illinois",1043,2674
276,17117956700,"Census Tract 9567, Macoupin County, Illinois",1840,4077
277,17117956000,"Census Tract 9560, Macoupin County, Illinois",1216,3283
278,17117957000,"Census Tract 9570, Macoupin County, Illinois",1566,3626
279,17117957200,"Census Tract 9572, Macoupin County, Illinois",1890,4813
280,17159977900,"Census Tract 9779, Richland County, Illinois",1499,3654
281,17159978100,"Census Tract 9781, Richland County, Illinois",1750,4191
282,17159978300,"Census Tract 9783, Richland County, Illinois",1414,3379
283,17159978200,"Census Tract 9782, Richland County, Illinois",957,2723
284,17159978000,"Census Tract 9780, Richland County, Illinois",873,1934
285,17165955100,"Census Tract 9551, Saline County, Illinois",831,2498
286,17165955800,"Census Tract 9558, Saline County, Illinois",1446,3539
287,17165956200,"Census Tract 9562, Saline County, Illinois",1358,3240
288,17165955600,"Census Tract 9556, Saline County, Illinois",995,2509
289,17165956000,"Census Tract 9560, Saline County, Illinois",1184,2887
290,17031310400,"Census Tract 3104, Cook County, Illinois",269,1181
291,17031310600,"Census Tract 3106, Cook County, Illinois",1279,4432
292,17031829402,"Census Tract 8294.02, Cook County, Illinois",1237,3322
293,17031829600,"Census Tract 8296, Cook County, Illinois",1177,2861
294,17031829700,"Census Tract 8297, Cook County, Illinois",1278,4193
295,17031829800,"Census Tract 8298, Cook County, Illinois",2939,6246
296,17031830400,"Census Tract 8304, Cook County, Illinois",1277,4957
297,17031800700,"Census Tract 8007, Cook County, Illinois",2007,4861
298,17031802503,"Census Tract 8025.03, Cook County, Illinois",2397,6477
299,17031801701,"Census Tract 8017.01, Cook County, Illinois",1440,3876
300,17031801902,"Census Tract 8019.02, Cook County, Illinois",1335,3481
301,17031802002,"Census Tract 8020.02, Cook County, Illinois",2262,5365
302,17031802504,"Census Tract 8025.04, Cook County, Illinois",2596,6815
303,17031802702,"Census Tract 8027.02, Cook County, Illinois",2299,4624
304,17031803008,"Census Tract 8030.08, Cook County, Illinois",2041,4494
305,17031803200,"Census Tract 8032, Cook County, Illinois",2691,5310
306,17031803500,"Census Tract 8035, Cook County, Illinois",2527,5739
307,17031804102,"Census Tract 8041.02, Cook County, Illinois",3317,7183
308,17031824505,"Census Tract 8245.05, Cook County, Illinois",2674,6512
309,17031825900,"Census Tract 8259, Cook County, Illinois",1113,3392
310,17031242300,"Census Tract 2423, Cook County, Illinois",671,3306
311,17031826000,"Census Tract 8260, Cook County, Illinois",680,2809
312,17031826100,"Census Tract 8261, Cook County, Illinois",1742,6780
313,17031826304,"Census Tract 8263.04, Cook County, Illinois",991,2723
314,17031250400,"Census Tract 2504, Cook County, Illinois",1707,4963
315,17031251600,"Census Tract 2516, Cook County, Illinois",1269,4161
316,17031251800,"Census Tract 2518, Cook County, Illinois",1021,4943
317,17031260900,"Census Tract 2609, Cook County, Illinois",388,1488
318,17031271200,"Census Tract 2712, Cook County, Illinois",435,1263
319,17089850800,"Census Tract 8508, Kane County, Illinois",2260,6617
320,17089851000,"Census Tract 8510, Kane County, Illinois",2075,7265
321,17089852903,"Census Tract 8529.03, Kane County, Illinois",2868,6321
322,17089853100,"Census Tract 8531, Kane County, Illinois",847,3078
323,17089854001,"Census Tract 8540.01, Kane County, Illinois",2307,4669
324,17089852403,"Census Tract 8524.03, Kane County, Illinois",2178,5382
325,17089853001,"Census Tract 8530.01, Kane County, Illinois",755,2792
326,17031804804,"Census Tract 8048.04, Cook County, Illinois",2201,6551
327,17031805105,"Census Tract 8051.05, Cook County, Illinois",1567,7228
328,17031805108,"Census Tract 8051.08, Cook County, Illinois",1524,6564
329,17031805701,"Census Tract 8057.01, Cook County, Illinois",1925,5094
330,17031805702,"Census Tract 8057.02, Cook County, Illinois",792,1983
331,17031806801,"Census Tract 8068.01, Cook County, Illinois",2055,4064
332,17031807300,"Census Tract 8073, Cook County, Illinois",3106,7783
333,17031808002,"Census Tract 8080.02, Cook County, Illinois",2163,4870
334,17031808900,"Census Tract 8089, Cook County, Illinois",1866,4175
335,17121952600,"Census Tract 9526, Marion County, Illinois",684,2186
336,17121952000,"Census Tract 9520, Marion County, Illinois",1559,4269
337,17121952500,"Census Tract 9525, Marion County, Illinois",825,2540
338,17121952700,"Census Tract 9527, Marion County, Illinois",1399,3651
339,17121952100,"Census Tract 9521, Marion County, Illinois",1109,3032
340,17121952300,"Census Tract 9523, Marion County, Illinois",1753,3381
341,17121951600,"Census Tract 9516, Marion County, Illinois",1348,3382
342,17121952200,"Census Tract 9522, Marion County, Illinois",1685,4207
343,17121951700,"Census Tract 9517, Marion County, Illinois",1041,2489
344,17121951900,"Census Tract 9519, Marion County, Illinois",1289,2947
345,17121952400,"Census Tract 9524, Marion County, Illinois",1751,3672
346,17123961400,"Census Tract 9614, Marshall County, Illinois",1295,2704
347,17123961100,"Census Tract 9611, Marshall County, Illinois",1113,2599
348,17123961300,"Census Tract 9613, Marshall County, Illinois",899,1965
349,17123961200,"Census Tract 9612, Marshall County, Illinois",1082,2528
350,17123961500,"Census Tract 9615, Marshall County, Illinois",984,1998
351,17125956600,"Census Tract 9566, Mason County, Illinois",882,1737
352,17125956500,"Census Tract 9565, Mason County, Illinois",1358,3270
353,17125956400,"Census Tract 9564, Mason County, Illinois",949,1831
354,17125956800,"Census Tract 9568, Mason County, Illinois",1017,2398
355,17125956300,"Census Tract 9563, Mason County, Illinois",987,2691
356,17075950500,"Census Tract 9505, Iroquois County, Illinois",1756,4111
357,17125956700,"Census Tract 9567, Mason County, Illinois",903,1851
358,17075950100,"Census Tract 9501, Iroquois County, Illinois",1324,2938
359,17075950300,"Census Tract 9503, Iroquois County, Illinois",1399,3264
360,17075950600,"Census Tract 9506, Iroquois County, Illinois",1288,3183
361,17075950700,"Census Tract 9507, Iroquois County, Illinois",1210,2772
362,17075950800,"Census Tract 9508, Iroquois County, Illinois",1120,2324
363,17075950200,"Census Tract 9502, Iroquois County, Illinois",1341,3574
364,17075950400,"Census Tract 9504, Iroquois County, Illinois",1695,3654
365,17075950900,"Census Tract 9509, Iroquois County, Illinois",1036,2349
366,17021958200,"Census Tract 9582, Christian County, Illinois",1475,3587
367,17031161100,"Census Tract 1611, Cook County, Illinois",660,2043
368,17031161200,"Census Tract 1612, Cook County, Illinois",890,3090
369,17031283800,"Census Tract 2838, Cook County, Illinois",689,3605
370,17201002800,"Census Tract 28, Winnebago County, Illinois",346,1461
371,17201003705,"Census Tract 37.05, Winnebago County, Illinois",2302,4870
372,17201003707,"Census Tract 37.07, Winnebago County, Illinois",1279,3800
373,17201003709,"Census Tract 37.09, Winnebago County, Illinois",412,1604
374,17201003808,"Census Tract 38.08, Winnebago County, Illinois",1567,3328
375,17201003901,"Census Tract 39.01, Winnebago County, Illinois",1648,4717
376,17201004200,"Census Tract 42, Winnebago County, Illinois",2585,6288
377,17201001300,"Census Tract 13, Winnebago County, Illinois",309,2417
378,17201000511,"Census Tract 5.11, Winnebago County, Illinois",1194,2617
379,17201001900,"Census Tract 19, Winnebago County, Illinois",1238,3670
380,17201002302,"Census Tract 23.02, Winnebago County, Illinois",526,1190
381,17201003604,"Census Tract 36.04, Winnebago County, Illinois",1236,3004
382,17201004300,"Census Tract 43, Winnebago County, Illinois",1863,4845
383,17201000101,"Census Tract 1.01, Winnebago County, Illinois",1604,4990
384,17201000510,"Census Tract 5.10, Winnebago County, Illinois",1406,3221
385,17201000514,"Census Tract 5.14, Winnebago County, Illinois",1847,3476
386,17201001400,"Census Tract 14, Winnebago County, Illinois",1029,3983
387,17201002600,"Census Tract 26, Winnebago County, Illinois",511,3073
388,17201003801,"Census Tract 38.01, Winnebago County, Illinois",2456,5980
389,17201003807,"Census Tract 38.07, Winnebago County, Illinois",2695,7747
390,17201003903,"Census Tract 39.03, Winnebago County, Illinois",2561,6121
391,17201000507,"Census Tract 5.07, Winnebago County, Illinois",1381,4043
392,17201000512,"Census Tract 5.12, Winnebago County, Illinois",2666,5019
393,17201004002,"Census Tract 40.02, Winnebago County, Illinois",2615,6604
394,17201003602,"Census Tract 36.02, Winnebago County, Illinois",1740,3976
395,17201000800,"Census Tract 8, Winnebago County, Illinois",858,2567
396,17201004003,"Census Tract 40.03, Winnebago County, Illinois",803,1912
397,17201000300,"Census Tract 3, Winnebago County, Illinois",1334,4050
398,17201000403,"Census Tract 4.03, Winnebago County, Illinois",2092,4416
399,17201000700,"Census Tract 7, Winnebago County, Illinois",1187,3185
400,17201001000,"Census Tract 10, Winnebago County, Illinois",816,2959
401,17201003100,"Census Tract 31, Winnebago County, Illinois",975,3526
402,17201001700,"Census Tract 17, Winnebago County, Illinois",915,3060
403,17201002200,"Census Tract 22, Winnebago County, Illinois",1286,3562
404,17201002400,"Census Tract 24, Winnebago County, Illinois",543,2384
405,17201003606,"Census Tract 36.06, Winnebago County, Illinois",942,2583
406,17201003706,"Census Tract 37.06, Winnebago County, Illinois",2345,6266
407,17037000400,"Census Tract 4, DeKalb County, Illinois",2698,9034
408,17037001700,"Census Tract 17, DeKalb County, Illinois",1336,3312
409,17047957000,"Census Tract 9570, Edwards County, Illinois",867,2185
410,17047957100,"Census Tract 9571, Edwards County, Illinois",873,2159
411,17047956900,"Census Tract 9569, Edwards County, Illinois",977,2163
412,17079977500,"Census Tract 9775, Jasper County, Illinois",1589,3992
413,17079977300,"Census Tract 9773, Jasper County, Illinois",1235,2861
414,17079977400,"Census Tract 9774, Jasper County, Illinois",1183,2745
415,17081050400,"Census Tract 504, Jefferson County, Illinois",1776,5287
416,17081051000,"Census Tract 510, Jefferson County, Illinois",200,1519
